ATR_MIN,DIST_MIN,EXPANSION_MIN,CROSS_MAX,total_return,sharpe_ratio,max_drawdown,total_trades,total_pnl
,0.0005,0.003,4.0,-52.41926746199851,-79.31382746200494,52.41926746199898,1478,-5241.93
,0.0005,0.003,5.0,-59.807227883198365,-84.928609203114,59.80722788319862,1702,-5980.72
,0.0005,0.004,,-46.55083802159863,-70.37564991834209,46.56846898760105,1304,-4655.09
,0.0005,0.004,1.0,-11.256044214399713,-35.14901084113793,11.469835328543745,294,-1125.6100000000001
,0.0005,0.004,2.0,-20.793137787999502,-49.52013449990289,20.8589774158876,546,-2079.31
,0.0005,0.004,3.0,-30.948887265199165,-57.68729066328553,30.97166475648242,841,-3094.89
,0.0005,0.004,4.0,-37.77899010079896,-63.72486835586213,37.79951458555369,1050,-3777.8999999999996
,0.0005,0.004,5.0,-42.61351371399875,-67.36281898311027,42.63244346240363,1201,-4261.35
,0.0005,0.005,,-31.168585756399132,-53.94840201469238,31.26815904360467,868,-3116.8599999999997
,0.0005,0.005,1.0,-8.047804813999809,-27.716006894320483,8.35571207411565,207,-804.78
,0.0005,0.005,2.0,-14.90477244399967,-38.97744265469384,15.100570924366332,391,-1490.48
,0.0005,0.005,3.0,-21.6903163671994,-45.35564116169682,21.83128146800817,588,-2169.04
,0.0005,0.005,4.0,-26.1396402835993,-49.929268851022165,26.15820882012219,720,-2613.9700000000003
,0.0005,0.005,5.0,-29.172725853599204,-52.59910596103321,29.208402556211443,809,-2917.27
,0.0007,,,-67.91019365199801,-91.39964997141031,67.91019365199797,1908,-6791.02
,0.0007,,1.0,-13.613968896799639,-40.43153194129881,13.638603295905257,367,-1361.4
,0.0007,,2.0,-28.299328407199294,-61.28864718073974,28.299328407199454,757,-2829.9300000000003
,0.0007,,3.0,-41.77650554279887,-73.78764175809003,41.77650554279904,1136,-4177.65
,0.0007,,4.0,-53.20450453759853,-83.49339129468393,53.20450453759875,1472,-5320.45
,0.0007,,5.0,-59.97780174799835,-87.32624014855723,59.97780174799849,1678,-5997.780000000001
,0.0007,0.001,,-67.92956890199802,-91.4862285665371,67.929568901998,1907,-6792.959999999999
,0.0007,0.001,1.0,-13.613968896799639,-40.43153194129881,13.638603295905257,367,-1361.4
,0.0007,0.001,2.0,-28.318703657199297,-61.37358563333145,28.31870365719945,756,-2831.87
,0.0007,0.001,3.0,-41.795880792798876,-73.86638877066619,41.79588079279905,1135,-4179.58
,0.0007,0.001,4.0,-53.22387978759855,-83.57446527768678,53.22387978759876,1471,-5322.389999999999
,0.0007,0.001,5.0,-59.99717699799836,-87.40849879956191,59.9971769979985,1677,-5999.72
,0.0007,0.002,,-64.9000480527981,-88.81494014969783,64.90004805279814,1820,-6490.0
,0.0007,0.002,1.0,-13.495976875999647,-40.11810960591745,13.520644922472702,364,-1349.6
,0.0007,0.002,2.0,-27.0800019383993,-59.26383355316468,27.080001938399516,723,-2708.0
,0.0007,0.002,3.0,-40.34502467199892,-71.87150575994885,40.34502467199908,1096,-4034.5
,0.0007,0.002,4.0,-51.29225907719858,-81.53343793929976,51.292259077198885,1412,-5129.23
,0.0007,0.002,5.0,-57.761050624398415,-85.1589370866092,57.76105062439879,1611,-5776.110000000001
,0.0007,0.003,,-54.434127352398455,-79.6565404354938,54.434127352398676,1514,-5443.42
,0.0007,0.003,1.0,-12.22007136239968,-37.291233608312325,12.285070218596797,324,-1222.01
,0.0007,0.003,2.0,-24.05977953359942,-54.39581705373447,24.059779533599656,636,-2405.9700000000003
,0.0007,0.003,3.0,-34.64383469399904,-63.96201201285939,34.64383469399913,942,-3464.38
,0.0007,0.003,4.0,-43.595109755598784,-71.97117598275696,43.59510975559907,1204,-4359.52
,0.0007,0.003,5.0,-48.96642547679857,-75.78169015373575,48.96642547679891,1366,-4896.65
,0.0007,0.004,,-40.49469394759891,-66.26706302392594,40.5143226188286,1107,-4049.47
,0.0007,0.004,1.0,-9.273300031999785,-30.774009421577784,9.491794895294108,243,-927.3299999999999
,0.0007,0.004,2.0,-17.8538536867996,-44.77829382956078,17.92213655465545,464,-1785.3899999999999
,0.0007,0.004,3.0,-26.195637669999268,-52.90806917063445,26.219983088241705,704,-2619.56
,0.0007,0.004,4.0,-32.469960797199136,-59.19646243558655,32.49223654075175,888,-3246.99
,0.0007,0.004,5.0,-36.340258927998995,-61.95303123367598,36.361257998686426,1007,-3634.02
,0.0007,0.005,,-27.51444924959926,-50.69401607311899,27.690488892438292,755,-2751.45
,0.0007,0.005,1.0,-6.921147114799832,-24.93356324194993,7.232827053583629,178,-692.12
,0.0007,0.005,2.0,-12.972928316399715,-35.46107744953199,13.173171842103699,340,-1297.29
,0.0007,0.005,3.0,-18.760308295199497,-41.645370216753896,18.947235443032515,507,-1876.03
,0.0007,0.005,4.0,-22.850042942399444,-46.63182419572238,22.94538046408075,619,-2285.01
,0.0007,0.005,5.0,-25.160474618399327,-48.0153398158218,25.271802910284087,695,-2516.04
,0.001,,,-42.18986756599883,-67.91264954577107,42.18986756599907,1184,-4218.99
,0.001,,1.0,-8.120601463599792,-28.60332483756818,8.376541838215818,216,-812.06
,0.001,,2.0,-17.31844215399961,-44.00769451320294,17.340597907185256,461,-1731.85
,0.001,,3.0,-25.75871432759933,-53.21839332313448,25.758714327599346,700,-2575.87
,0.001,,4.0,-32.52012583919913,-59.17302928059707,32.5201258391994,910,-3252.01
,0.001,,5.0,-36.805460809999,-62.762090351914274,36.805460809999126,1040,-3680.55
,0.001,0.001,,-42.18986756599883,-67.91264954577107,42.18986756599907,1184,-4218.99
,0.001,0.001,1.0,-8.120601463599792,-28.60332483756818,8.376541838215818,216,-812.06
,0.001,0.001,2.0,-17.31844215399961,-44.00769451320294,17.340597907185256,461,-1731.85
,0.001,0.001,3.0,-25.75871432759933,-53.21839332313448,25.758714327599346,700,-2575.87
,0.001,0.001,4.0,-32.52012583919913,-59.17302928059707,32.5201258391994,910,-3252.01
,0.001,0.001,5.0,-36.805460809999,-62.762090351914274,36.805460809999126,1040,-3680.55
,0.001,0.002,,-41.49709387919886,-66.93672602564874,41.497093879199156,1166,-4149.71
,0.001,0.002,1.0,-8.081215056799794,-28.478585995032383,8.337263749712521,215,-808.13
,0.001,0.002,2.0,-17.124582959599614,-43.62474422786518,17.146783000217958,455,-1712.46
,0.001,0.002,3.0,-25.521515925199346,-52.812299970283085,25.521515925199413,693,-2552.1499999999996
,0.001,0.002,4.0,-32.26651469119915,-58.85057998228988,32.2665146911994,901,-3226.65
,0.001,0.002,5.0,-36.38574963359902,-62.20916294102568,36.385749633599126,1027,-3638.58
,0.001,0.003,,-36.82353598359897,-61.11714990722767,36.887032823533225,1039,-3682.36
,0.001,0.003,1.0,-7.841059824799801,-27.755193502082427,8.097768979221682,209,-784.1
,0.001,0.003,2.0,-16.129088445999646,-41.64455891932953,16.22709933315626,430,-1612.9099999999999
,0.001,0.003,3.0,-23.3966340355994,-49.294031907025065,23.44071094147785,640,-2339.66
,0.001,0.003,4.0,-29.219266355999185,-54.381919739462305,29.21926635599945,822,-2921.92
,0.001,0.003,5.0,-32.85441166079914,-57.27371372862062,32.85441166079933,935,-3285.44
,0.001,0.004,,-28.69524539759925,-51.469048186224775,28.807099303386646,809,-2869.5299999999997
,0.001,0.004,1.0,-6.2455692347998655,-23.26996010902439,6.562768212990426,168,-624.56
,0.001,0.004,2.0,-12.400425611599726,-34.29331502301009,12.604535869597566,334,-1240.04
,0.001,0.004,3.0,-18.537337669199538,-41.44504045690882,18.678865682011363,509,-1853.73
