Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,rsi_window,entry_long,exit_long,entry_short,exit_short
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-1909.6334478803901,-3919.2668957607802,48.684645106865275,50.38845800931616,175.83133536463083,954.0904666999996,322 days 06:00:00,2,1,1,-626.227392669763,0.0,-1.5380622730838325,-1.5380622730838325,,-1.5380622730838325,,0 days 12:00:00,0.0,-1333.406055210607,-1.4007184838360738,71.20235965744104,0.5035496253985269,-1.419847039492589,11,20,40,80,60
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-621.7615549700043,-1343.5231099400087,48.684645106865275,50.38845800931616,175.83133536463083,954.0904666999996,322 days 06:00:00,2,1,1,-203.89468872329428,0.0,-0.5343367666307999,-0.5343367666307999,,-0.5343367666307999,,0 days 22:00:00,0.0,-467.86686624669596,-1.6388456545951857,,0.355620543260351,-1.6475100639099503,11,20,50,65,40
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-560.77682303421,-1221.55364606842,48.684645106865275,50.38845800931616,175.83133536463083,954.0904666999996,322 days 06:00:00,2,1,1,-183.89592418803412,0.0,-0.4872995903951154,-0.4872995903951154,,-0.4872995903951154,,0 days 19:00:00,0.0,-426.8808988461666,-1.4284128934165803,,0.5116399087501408,-1.4493262775472944,11,20,50,65,50
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-1909.6334478803901,-3919.2668957607802,48.684645106865275,50.38845800931616,175.83133536463083,954.0904666999996,322 days 06:00:00,2,1,1,-626.227392669763,0.0,-1.5380622730838325,-1.5380622730838325,,-1.5380622730838325,,0 days 12:00:00,0.0,-1333.406055210607,-1.4007184838360738,71.20235965744104,0.5035496253985269,-1.419847039492589,11,20,50,65,60
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-621.7615549700043,-1343.5231099400087,48.684645106865275,50.38845800931616,175.83133536463083,954.0904666999996,322 days 06:00:00,2,1,1,-203.89468872329428,0.0,-0.5343367666307999,-0.5343367666307999,,-0.5343367666307999,,0 days 22:00:00,0.0,-467.86686624669596,-1.6388456545951857,,0.355620543260351,-1.6475100639099503,11,20,50,70,40
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-560.77682303421,-1221.55364606842,48.684645106865275,50.38845800931616,175.83133536463083,954.0904666999996,322 days 06:00:00,2,1,1,-183.89592418803412,0.0,-0.4872995903951154,-0.4872995903951154,,-0.4872995903951154,,0 days 19:00:00,0.0,-426.8808988461666,-1.4284128934165803,,0.5116399087501408,-1.4493262775472944,11,20,50,70,50
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-1909.6334478803901,-3919.2668957607802,48.684645106865275,50.38845800931616,175.83133536463083,954.0904666999996,322 days 06:00:00,2,1,1,-626.227392669763,0.0,-1.5380622730838325,-1.5380622730838325,,-1.5380622730838325,,0 days 12:00:00,0.0,-1333.406055210607,-1.4007184838360738,71.20235965744104,0.5035496253985269,-1.419847039492589,11,20,50,70,60
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-621.7615549700043,-1343.5231099400087,48.684645106865275,50.38845800931616,175.83133536463083,954.0904666999996,322 days 06:00:00,2,1,1,-203.89468872329428,0.0,-0.5343367666307999,-0.5343367666307999,,-0.5343367666307999,,0 days 22:00:00,0.0,-467.86686624669596,-1.6388456545951857,,0.355620543260351,-1.6475100639099503,11,20,50,75,40
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-560.77682303421,-1221.55364606842,48.684645106865275,50.38845800931616,175.83133536463083,954.0904666999996,322 days 06:00:00,2,1,1,-183.89592418803412,0.0,-0.4872995903951154,-0.4872995903951154,,-0.4872995903951154,,0 days 19:00:00,0.0,-426.8808988461666,-1.4284128934165803,,0.5116399087501408,-1.4493262775472944,11,20,50,75,50
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-1909.6334478803901,-3919.2668957607802,48.684645106865275,50.38845800931616,175.83133536463083,954.0904666999996,322 days 06:00:00,2,1,1,-626.227392669763,0.0,-1.5380622730838325,-1.5380622730838325,,-1.5380622730838325,,0 days 12:00:00,0.0,-1333.406055210607,-1.4007184838360738,71.20235965744104,0.5035496253985269,-1.419847039492589,11,20,50,75,60
2024-09-01 01:00:00+02:00,2025-07-21 21:00:00+02:00,323 days 21:00:00,50.0,-621.7615549700043,-1343.5231099400087,48.684645106865275,50.38845800931616,175.83133536463083,954.0904666999996,322 days 06:00:00,2,1,1,-203.89468872329428,0.0,-0.5343367666307999,-0.5343367666307999,,-0.5343367666307999,,0 days 22:00:00,0.0,-467.86686624669596,-1.6388456545951857,,0.355620543260351,-1.6475100639099503,11,20,50,80,40
