short_window,long_window,short_type,long_type,tp_multiplier,sl_multiplier,total_return,sharpe_ratio,win_rate,max_drawdown,total_trades,long_trades,short_trades,long_winrate,short_winrate,total_pnl,strategy_name,combo_type
21,50,SMA,EMA,2.0,2.5,-98.92729719108635,-2.0958258653348727,46.83301343570058,99.02060051807591,4690,2101,2589,47.83,46.04,-494.64000000000004,SMA21/EMA50,SMA/EMA
21,50,SMA,EMA,2.0,1.5,-98.94673131380706,-2.4191672503721584,41.05621805792163,99.05337891745542,4697,2099,2598,41.64,40.61,-494.72999999999996,SMA21/EMA50,SMA/EMA
20,200,EMA,SMA,3.0,2.0,-98.94772424783636,-2.1297377299611715,35.98553345388788,99.0900292463054,2766,1277,1489,37.27,34.92,-494.74,EMA20/SMA200,EMA/SMA
9,200,SMA,SMA,2.5,1.5,-98.95263175947768,-2.305423716042528,35.10114816839803,99.02517070609376,3659,1658,2001,34.92,35.28,-494.76,SMA9/SMA200,SMA/SMA
20,50,SMA,SMA,2.0,2.5,-98.95621740964894,-1.964912579971107,45.85326953748006,98.99648576215685,5016,2116,2900,45.65,46.0,-494.78,SMA20/SMA50,SMA/SMA
20,200,EMA,EMA,2.0,1.5,-98.96200825692935,-2.5447210200540074,39.315642458100555,99.0137841453566,2865,1293,1572,39.44,39.25,-494.81,EMA20/EMA200,EMA/EMA
9,200,EMA,SMA,2.5,3.0,-98.96686008833152,-2.0305423994884193,39.42434644837603,99.10030959056336,3788,1729,2059,39.73,39.19,-494.83000000000004,EMA9/SMA200,EMA/SMA
21,50,SMA,EMA,1.5,2.5,-98.97258688823023,-2.3480544036871023,52.0682302771855,99.04335893737661,4691,2106,2585,51.99,52.15,-494.86,SMA21/EMA50,SMA/EMA
9,200,SMA,SMA,3.0,1.5,-98.97632858418478,-2.143198639925619,31.508349301943607,99.16678600695215,3654,1657,1997,31.56,31.5,-494.88,SMA9/SMA200,SMA/SMA
21,50,SMA,SMA,1.5,2.0,-98.9779056692557,-2.337516922492176,50.56315366049879,98.99704865059873,4972,2123,2849,50.07,50.93,-494.89,SMA21/SMA50,SMA/SMA
20,50,SMA,SMA,2.5,2.5,-98.987615862003,-1.8442136999633951,41.57191302613206,99.0703933533464,5013,2113,2900,41.93,41.31,-494.92999999999995,SMA20/SMA50,SMA/SMA
21,50,EMA,SMA,2.5,2.5,-99.00027376202128,-1.7949020246404375,41.173152848279756,99.19960261678395,5320,2285,3035,40.0,42.08,-495.0,EMA21/SMA50,EMA/SMA
9,200,EMA,SMA,3.0,1.5,-99.00098477112144,-2.130693705020577,31.430889910738436,99.12614516517792,3698,1679,2019,31.51,31.4,-495.0,EMA9/SMA200,EMA/SMA
20,50,SMA,SMA,2.0,3.0,-99.00614040548277,-1.9272231852192334,46.745207667731634,99.0393817110716,5008,2117,2891,46.2,47.15,-495.03,SMA20/SMA50,SMA/SMA
21,50,EMA,SMA,2.5,2.0,-99.00826448789921,-1.8716884435313657,39.87949538693278,99.166434825781,5312,2279,3033,38.83,40.69,-495.04,EMA21/SMA50,EMA/SMA
21,50,SMA,SMA,2.5,2.0,-99.01326696379401,-1.9540197346496193,40.20140986908359,99.11603448397919,4965,2119,2846,40.63,39.88,-495.06,SMA21/SMA50,SMA/SMA
9,200,EMA,SMA,2.5,1.5,-99.02444302029242,-2.3075950249481085,34.557235421166304,99.0898124910622,3705,1681,2024,34.74,34.44,-495.13,EMA9/SMA200,EMA/SMA
21,50,SMA,SMA,3.0,2.5,-99.03464642183854,-1.7561347131045804,38.79118657772388,99.06395041229963,4947,2117,2830,39.16,38.52,-495.16999999999996,SMA21/SMA50,SMA/SMA
20,50,SMA,SMA,3.0,2.0,-99.03468260589285,-1.8236506034126638,36.69193934557063,99.223604853304,5012,2115,2897,37.49,36.11,-495.18,SMA20/SMA50,SMA/SMA
21,50,SMA,EMA,1.5,2.0,-99.03737415842939,-2.5309351297602034,49.904234943605026,99.09555754794367,4700,2105,2595,49.36,50.37,-495.18,SMA21/EMA50,SMA/EMA
20,50,SMA,SMA,1.5,3.0,-99.03937246940076,-2.1545388544985715,53.212290502793294,99.1863208652137,5012,2118,2894,52.5,53.73,-495.2,SMA20/SMA50,SMA/SMA
20,50,SMA,SMA,2.5,3.0,-99.04436915504871,-1.817086799733043,42.37152569486103,99.15954385567723,5001,2111,2890,42.35,42.39,-495.22,SMA20/SMA50,SMA/SMA
21,50,SMA,EMA,1.5,1.5,-99.04892787456953,-2.7664505670763937,46.088254103602644,99.12122762315776,4692,2100,2592,45.52,46.57,-495.24,SMA21/EMA50,SMA/EMA
9,50,SMA,SMA,3.0,2.0,-99.05719185963216,-1.7269801181370252,34.66027178257394,99.30226337001253,6256,2690,3566,33.75,35.36,-495.28,SMA9/SMA50,SMA/SMA
21,50,SMA,SMA,2.0,2.5,-99.05959410864385,-2.0144662258380586,46.31536442560065,99.07833687551863,4953,2120,2833,46.23,46.38,-495.29999999999995,SMA21/SMA50,SMA/SMA
9,200,SMA,SMA,1.5,3.0,-99.05968520742627,-2.4980915036671782,51.07541519194119,99.14744922515501,3673,1663,2010,51.65,50.6,-495.28999999999996,SMA9/SMA200,SMA/SMA
21,50,SMA,SMA,1.5,2.5,-99.05983909509375,-2.259418669382736,52.410732297760745,99.07630269784336,4957,2120,2837,51.93,52.77,-495.3,SMA21/SMA50,SMA/SMA
9,200,EMA,SMA,3.0,2.5,-99.07739087067935,-1.9751950734107382,35.342979635584136,99.20553594622073,3733,1703,2030,35.11,35.57,-495.39,EMA9/SMA200,EMA/SMA
9,200,SMA,SMA,3.0,2.0,-99.09167232229923,-2.057050022732568,34.529395528567484,99.21588854257656,3624,1641,1983,34.31,34.75,-495.46,SMA9/SMA200,SMA/SMA
21,50,EMA,SMA,1.5,3.0,-99.10579074787755,-2.1334548984189237,52.37562884292901,99.3424762377754,5368,2306,3062,51.08,53.36,-495.52,EMA21/SMA50,EMA/SMA
21,50,EMA,SMA,2.0,2.5,-99.11423537053776,-1.997818038478992,45.55347091932458,99.24973041844474,5331,2288,3043,44.32,46.5,-495.56999999999994,EMA21/SMA50,EMA/SMA
9,50,SMA,SMA,2.5,2.0,-99.11707641335002,-1.8748861662034269,37.999360818152766,99.42250903072075,6259,2693,3566,37.13,38.67,-495.59,SMA9/SMA50,SMA/SMA
20,50,EMA,SMA,2.5,2.5,-99.11925155317876,-1.843100124502942,40.92095451155854,99.40502461821984,5365,2300,3065,39.83,41.76,-495.59000000000003,EMA20/SMA50,EMA/SMA
9,200,SMA,SMA,2.5,2.0,-99.12249878465538,-2.229614894028109,38.20533993944398,99.17929697748365,3634,1646,1988,37.91,38.48,-495.61,SMA9/SMA200,SMA/SMA
21,50,SMA,EMA,2.5,2.0,-99.1254429934044,-2.142796285668266,40.27216670210504,99.17488978633742,4704,2105,2599,40.71,39.94,-495.63,SMA21/EMA50,SMA/EMA
20,50,EMA,SMA,2.0,2.5,-99.14427155665835,-2.0039262779331444,45.34970238095239,99.33222696160622,5377,2304,3073,44.05,46.34,-495.73,EMA20/SMA50,EMA/SMA
21,50,SMA,SMA,2.0,1.5,-99.15012850231345,-2.3764150500531134,40.75791171134852,99.19653364793723,4961,2114,2847,40.26,41.13,-495.75,SMA21/SMA50,SMA/SMA
21,50,EMA,EMA,3.0,3.0,-99.1638126675215,-1.782106527035358,36.89710610932476,99.3620028856956,4977,2191,2786,36.47,37.26,-495.82,EMA21/EMA50,EMA/EMA
21,50,SMA,SMA,3.0,3.0,-99.16870735977147,-1.776574777558265,39.60016155088853,99.2413852692538,4952,2115,2837,40.0,39.3,-495.84,SMA21/SMA50,SMA/SMA
20,50,EMA,EMA,2.0,2.5,-99.16918998500348,-2.058928782117574,45.06429277942631,99.31366026719351,5056,2178,2878,44.35,45.62,-495.84,EMA20/EMA50,EMA/EMA
21,50,SMA,SMA,1.5,3.0,-99.1697868139893,-2.2586150357685675,53.506650544135425,99.20124061155414,4962,2120,2842,52.92,53.94,-495.85,SMA21/SMA50,SMA/SMA
20,50,EMA,SMA,1.5,3.0,-99.16993722240248,-2.161985019844135,52.0671834625323,99.41999998732949,5419,2334,3085,50.64,53.16,-495.84999999999997,EMA20/SMA50,EMA/SMA
21,50,SMA,SMA,3.0,1.5,-99.1722309803545,-2.08477189360199,33.7908760597497,99.32190643883816,4954,2109,2845,34.04,33.6,-495.86,SMA21/SMA50,SMA/SMA
20,50,EMA,EMA,3.0,2.5,-99.17714172053994,-1.806262509925266,36.12711022840119,99.27736880436191,5036,2169,2867,35.55,36.59,-495.88,EMA20/EMA50,EMA/EMA
21,50,SMA,SMA,2.0,3.0,-99.19034441858389,-2.0329673387261034,47.278225806451616,99.2064812653972,4960,2121,2839,47.1,47.41,-495.95000000000005,SMA21/SMA50,SMA/SMA
21,50,SMA,EMA,2.5,1.5,-99.20247776526669,-2.3662593836486145,36.80289484887186,99.26971639451682,4699,2102,2597,37.16,36.54,-496.02,SMA21/EMA50,SMA/EMA
9,200,EMA,SMA,3.0,3.0,-99.20596460756734,-2.0181156185483555,35.92798517341806,99.31801042293056,3778,1725,2053,35.83,36.04,-496.03,EMA9/SMA200,EMA/SMA
21,50,SMA,SMA,1.5,1.5,-99.21286502515694,-2.710431174062651,46.35374697824336,99.23227812113609,4964,2115,2849,45.58,46.93,-496.07,SMA21/SMA50,SMA/SMA
9,200,SMA,SMA,3.0,3.0,-99.22674469933224,-2.0244077508256946,36.59072193247324,99.3453451550741,3644,1646,1998,36.88,36.39,-496.13,SMA9/SMA200,SMA/SMA
21,50,SMA,SMA,2.5,2.5,-99.22701797874088,-1.9608939957613578,41.82663164275611,99.24521542811421,4949,2118,2831,42.21,41.54,-496.14,SMA21/SMA50,SMA/SMA
20,50,SMA,SMA,2.0,2.0,-99.23115710806337,-2.211217679654385,43.99920255183413,99.25417805861224,5016,2116,2900,44.05,43.97,-496.15,SMA20/SMA50,SMA/SMA
9,200,SMA,SMA,2.5,3.0,-99.24725985888881,-2.184710926584517,40.35087719298245,99.29827773992886,3649,1650,1999,40.42,40.32,-496.24,SMA9/SMA200,SMA/SMA
20,50,SMA,EMA,1.5,1.5,-99.26144350145717,-2.826696544960648,46.23770842240273,99.29761027369737,4678,2097,2581,45.73,46.65,-496.31000000000006,SMA20/EMA50,SMA/EMA
9,50,SMA,SMA,3.0,2.5,-99.2647995770186,-1.7792986013231995,35.34510433386838,99.48832745811784,6231,2673,3558,34.53,35.98,-496.33,SMA9/SMA50,SMA/SMA
21,50,SMA,EMA,2.5,3.0,-99.26893133428177,-2.02605700082591,43.15856777493606,99.31431884549318,4693,2097,2596,44.16,42.37,-496.34000000000003,SMA21/EMA50,SMA/EMA
20,50,EMA,SMA,2.5,2.0,-99.27767415093032,-1.9982893865070885,39.49579831932773,99.42015903083065,5356,2296,3060,38.46,40.29,-496.38,EMA20/SMA50,EMA/SMA
21,50,EMA,SMA,2.0,2.0,-99.28381499673449,-2.1831292894701875,44.108250328885546,99.33367118060346,5322,2283,3039,43.01,44.95,-496.41999999999996,EMA21/SMA50,EMA/SMA
21,50,EMA,EMA,2.5,2.5,-99.29120397358679,-1.9935796110787671,40.46370967741936,99.40753135408303,4961,2160,2801,40.83,40.2,-496.45,EMA21/EMA50,EMA/EMA
21,50,EMA,SMA,3.0,2.5,-99.29582025222032,-1.8124990789463182,37.443524096385545,99.36736858559682,5313,2282,3031,36.46,38.21,-496.48,EMA21/SMA50,EMA/SMA
21,50,SMA,SMA,2.5,1.5,-99.30665945171887,-2.3130633912600866,36.56912209889001,99.35820795304149,4955,2109,2846,36.79,36.4,-496.53,SMA21/SMA50,SMA/SMA
20,50,EMA,SMA,3.0,2.5,-99.3119259766448,-1.8147923185016623,37.25966025760687,99.4788078213488,5358,2297,3061,36.31,37.99,-496.56,EMA20/SMA50,EMA/SMA
20,50,EMA,SMA,2.0,2.0,-99.32050487562788,-2.1911148192608647,43.86880357808424,99.38385345169668,5367,2302,3065,42.62,44.83,-496.6,EMA20/SMA50,EMA/SMA
21,50,SMA,EMA,2.5,2.5,-99.3228829466177,-2.147339620907976,42.05926241739501,99.3637496447921,4692,2103,2589,43.03,41.29,-496.60999999999996,SMA21/EMA50,SMA/EMA
