short_window,long_window,short_type,long_type,tp_multiplier,sl_multiplier,total_return,sharpe_ratio,win_rate,max_drawdown,total_trades,long_trades,short_trades,long_winrate,short_winrate,total_pnl,strategy_name,combo_type
20,200,SMA,EMA,2.5,1.5,-18.85339131627586,-0.6238140530185322,41.27906976744186,35.8881365728058,344,126,218,42.06,40.83,-94.27000000000001,SMA20/EMA200,SMA/EMA
9,200,SMA,SMA,3.0,2.0,-19.074932492224537,-0.447368558817917,38.494623655913976,52.02412013657261,465,197,268,41.12,36.57,-95.36999999999999,SMA9/SMA200,SMA/SMA
20,200,SMA,EMA,3.0,2.0,-19.73933275339973,-0.5016695803643615,42.52199413489736,39.61469026330779,341,124,217,45.97,40.55,-98.68999999999998,SMA20/EMA200,SMA/EMA
9,200,SMA,SMA,1.5,3.0,-20.23589156730617,-0.7149602049830469,54.077253218884124,36.708216333821106,466,198,268,53.54,54.48,-101.18,SMA9/SMA200,SMA/SMA
9,200,SMA,SMA,1.5,2.0,-20.685951422646042,-0.8019752121464818,52.68817204301075,35.681724553677455,465,197,268,51.78,53.36,-103.42999999999999,SMA9/SMA200,SMA/SMA
9,200,SMA,SMA,3.0,3.0,-20.941584289688116,-0.4664970132919363,40.215053763440864,53.63126229227255,465,197,268,43.65,37.69,-104.69999999999999,SMA9/SMA200,SMA/SMA
20,200,SMA,EMA,2.0,3.0,-22.010614292572917,-0.6840011374776218,54.41176470588235,32.07502269593011,340,122,218,59.02,51.83,-110.06,SMA20/EMA200,SMA/EMA
20,200,EMA,SMA,2.5,2.0,-22.13619878172394,-0.7471584947856917,43.626062322946176,44.16306437097656,353,137,216,48.18,40.74,-110.68,EMA20/SMA200,EMA/SMA
20,200,SMA,EMA,2.0,2.5,-23.137581766933362,-0.7851541573113123,52.94117647058824,28.9109395683098,340,123,217,55.28,51.61,-115.69,SMA20/EMA200,SMA/EMA
9,200,SMA,SMA,2.5,1.5,-23.21261603325337,-0.7258131247277287,39.19491525423729,46.99411602475932,472,204,268,41.18,37.69,-116.07,SMA9/SMA200,SMA/SMA
9,200,SMA,SMA,1.5,2.5,-23.710807159035586,-0.9145551413097289,53.69565217391305,40.2631221158266,460,198,262,53.03,54.2,-118.56,SMA9/SMA200,SMA/SMA
20,200,EMA,EMA,2.0,1.5,-24.471145215885326,-1.0650967154720055,45.15235457063712,36.51685522163219,361,144,217,47.92,43.32,-122.35,EMA20/EMA200,EMA/EMA
9,200,SMA,SMA,3.0,2.5,-25.012425451031962,-0.6501359876680967,39.565217391304344,58.44756131683921,460,198,262,41.92,37.79,-125.05999999999999,SMA9/SMA200,SMA/SMA
20,200,EMA,EMA,1.5,1.5,-25.159247050239674,-1.261608722246622,50.41551246537396,33.66581189106569,361,144,217,52.08,49.31,-125.78999999999999,EMA20/EMA200,EMA/EMA
20,200,EMA,SMA,3.0,1.5,-25.44177786368885,-0.9141036034923992,34.285714285714285,46.69875797283401,350,137,213,36.5,32.86,-127.21000000000001,EMA20/SMA200,EMA/SMA
20,200,SMA,EMA,2.5,3.0,-25.494158169268577,-0.7486623391449114,49.705882352941174,36.4566969868414,340,122,218,54.92,46.79,-127.47999999999999,SMA20/EMA200,SMA/EMA
12,20,EMA,EMA,2.0,1.5,-26.025141456522817,-0.566897594363452,39.60138648180242,53.897752553946276,1154,495,659,41.21,38.39,-130.13,EMA12/EMA20,EMA/EMA
