short_window,long_window,short_type,long_type,tp_multiplier,sl_multiplier,total_return,sharpe_ratio,win_rate,max_drawdown,total_trades,long_trades,short_trades,long_winrate,short_winrate,total_pnl,strategy_name,combo_type
26,200,SMA,SMA,1.5,2.5,2.6237568892333796,1.6176054262361599,67.64705882352942,7.206419342770222,34,9,25,77.78,64.0,13.120000000000001,SMA26/SMA200,SMA/SMA
21,200,SMA,SMA,2.0,2.0,2.538752993798073,1.3585255810692762,55.26315789473685,4.3694384409574045,38,13,25,46.15,60.0,12.69,SMA21/SMA200,SMA/SMA
50,200,SMA,EMA,2.5,1.5,2.518418244188456,1.7646220704791726,44.827586206896555,6.597621539069095,29,12,17,50.0,41.18,12.59,SMA50/EMA200,SMA/EMA
50,200,SMA,EMA,1.5,2.5,2.4715036910988375,1.7364729687852412,60.71428571428571,5.469718433129416,28,12,16,66.67,56.25,12.36,SMA50/EMA200,SMA/EMA
50,200,SMA,EMA,2.5,2.5,2.429706701974851,1.4729066952599073,50.0,5.8306315502978014,28,12,16,50.0,50.0,12.149999999999999,SMA50/EMA200,SMA/EMA
50,200,SMA,SMA,2.5,1.5,2.2261294557031532,1.320949915861386,44.11764705882353,4.2229861842103,34,11,23,36.36,47.83,11.129999999999999,SMA50/SMA200,SMA/SMA
9,200,EMA,SMA,3.0,3.0,2.18346883650446,0.9671567541510148,46.774193548387096,9.416904823475106,62,24,38,41.67,50.0,10.919999999999998,EMA9/SMA200,EMA/SMA
21,26,EMA,EMA,1.5,2.5,2.180043710050893,0.9664316642429325,55.88235294117647,10.071104622564974,102,53,49,52.83,59.18,10.899999999999999,EMA21/EMA26,EMA/EMA
26,200,SMA,SMA,1.5,2.0,2.0893487791878442,1.3576094881375607,64.70588235294117,6.283857705933829,34,9,25,77.78,60.0,10.45,SMA26/SMA200,SMA/SMA
9,200,EMA,EMA,2.5,1.5,1.9827161347280935,1.0249654830547985,43.58974358974359,9.012109887697143,78,31,47,41.94,44.68,9.91,EMA9/EMA200,EMA/EMA
21,200,SMA,SMA,3.0,2.5,1.9716676518256804,0.9362890594077093,47.368421052631575,7.024216116370326,38,13,25,38.46,52.0,9.86,SMA21/SMA200,SMA/SMA
50,200,EMA,SMA,3.0,3.0,1.9296190989674642,1.0619122036249427,50.0,7.974567842466097,28,10,18,40.0,55.56,9.649999999999999,EMA50/SMA200,EMA/SMA
9,200,SMA,SMA,3.0,3.0,1.8064924983384911,0.8205586968682108,43.75,13.862542889849234,64,27,37,40.74,45.95,9.04,SMA9/SMA200,SMA/SMA
50,200,EMA,SMA,1.5,2.0,1.7244586278451948,1.482153134935201,64.28571428571429,3.8681420850652772,28,10,18,50.0,72.22,8.629999999999999,EMA50/SMA200,EMA/SMA
26,200,EMA,SMA,3.0,2.0,1.638640535086472,0.8566042017069405,45.23809523809524,4.043784412234977,42,17,25,41.18,48.0,8.190000000000001,EMA26/SMA200,EMA/SMA
50,200,EMA,SMA,2.0,3.0,1.6317679789762336,1.0505692688273935,60.71428571428571,5.434331350181669,28,10,18,50.0,66.67,8.159999999999997,EMA50/SMA200,EMA/SMA
21,200,SMA,SMA,2.0,3.0,1.6133576426442002,0.8547065618833347,61.53846153846154,5.9059869995656955,39,13,26,46.15,69.23,8.06,SMA21/SMA200,SMA/SMA
50,200,SMA,EMA,2.0,3.0,1.597312423690016,0.959883728725298,57.14285714285714,5.558752867419451,28,12,16,58.33,56.25,7.9799999999999995,SMA50/EMA200,SMA/EMA
26,200,SMA,SMA,2.5,1.5,1.4404341185431122,0.9023544866205777,48.484848484848484,7.186142342407825,33,8,25,50.0,48.0,7.199999999999999,SMA26/SMA200,SMA/SMA
26,200,SMA,SMA,2.0,1.5,1.4202238990286105,0.9520698147704394,52.94117647058824,6.254414030463118,34,9,25,44.44,56.0,7.1,SMA26/SMA200,SMA/SMA
21,200,SMA,SMA,2.0,2.5,1.3639955249237914,0.7671242420507282,57.89473684210527,4.7724773385417585,38,13,25,46.15,64.0,6.82,SMA21/SMA200,SMA/SMA
9,200,EMA,EMA,2.5,2.5,1.3607548036327557,0.6923025396583147,47.43589743589743,14.410077563025366,78,34,44,47.06,47.73,6.8100000000000005,EMA9/EMA200,EMA/EMA
20,26,EMA,EMA,1.5,2.5,1.359834409728694,0.6605347705590896,57.28155339805825,10.943164545844438,103,52,51,53.85,60.78,6.799999999999999,EMA20/EMA26,EMA/EMA
12,200,EMA,SMA,3.0,1.5,1.3347699621033484,0.7321654446255365,39.285714285714285,5.834334470050607,56,19,37,36.84,40.54,6.68,EMA12/SMA200,EMA/SMA
20,200,EMA,EMA,3.0,2.0,1.3233860307404257,0.6604010844646598,41.509433962264154,5.909214700024585,53,21,32,47.62,37.5,6.609999999999999,EMA20/EMA200,EMA/EMA
9,200,SMA,EMA,3.0,1.5,1.2708237268473,0.6614327754458921,38.46153846153847,10.748888296115137,78,34,44,41.18,36.36,6.35,SMA9/EMA200,SMA/EMA
9,200,EMA,SMA,3.0,2.0,1.2630185841223691,0.6557563146220635,44.44444444444444,9.69044584165334,63,25,38,40.0,47.37,6.32,EMA9/SMA200,EMA/SMA
20,26,EMA,EMA,3.0,3.0,1.2601334837755644,0.5675874349340138,42.71844660194174,15.262370827430047,103,51,52,41.18,44.23,6.299999999999999,EMA20/EMA26,EMA/EMA
20,200,EMA,SMA,2.5,1.5,1.249710055538742,0.7912697933294388,43.90243902439025,5.049515385981759,41,14,27,50.0,40.74,6.239999999999999,EMA20/SMA200,EMA/SMA
50,200,EMA,SMA,2.5,2.5,1.2183754080129348,0.7545483902868546,50.0,6.527786669275806,28,10,18,40.0,55.56,6.099999999999998,EMA50/SMA200,EMA/SMA
21,26,EMA,EMA,2.5,3.0,1.2063837358324347,0.5595035448537837,44.554455445544555,16.394560304720258,101,52,49,42.31,46.94,6.039999999999999,EMA21/EMA26,EMA/EMA
50,200,SMA,EMA,2.0,1.5,1.177459436417746,0.9188110079740343,48.275862068965516,5.959861699344233,29,12,17,50.0,47.06,5.89,SMA50/EMA200,SMA/EMA
9,200,SMA,SMA,3.0,2.5,1.1406680501590472,0.5918948286659065,41.269841269841265,12.017375934702342,63,27,36,40.74,41.67,5.7,SMA9/SMA200,SMA/SMA
26,200,SMA,SMA,1.5,3.0,1.1354007985387966,0.6916660521023744,67.64705882352942,8.212252018110219,34,9,25,77.78,64.0,5.669999999999998,SMA26/SMA200,SMA/SMA
20,26,EMA,EMA,3.0,2.5,1.081173290567483,0.5187878786885876,42.57425742574257,13.362000160230602,101,50,51,42.0,43.14,5.3999999999999995,EMA20/EMA26,EMA/EMA
